BenjaminVoisin,305507977449079865369829344463001118378,男
CamillleClaris,284824297394290319729796206054905902363,女
MartinKarmann,192698394796152741565706733099547098956,男
PJ哈維,216748406240279571762011924873072219106,男
丹尼爾雷德克里夫,130181102930159856630062422948580498281,女
亞歷珊卓瑪麗亞羅納,249579171013789012023884111225931302922,男
亨佛萊鮑嘉,54115871406238710944084713514186168656,男
亨利札加,72042000981011925862254464651205996160,男
休傑克曼,36688135902520461471378428072045552294,男
佐藤浩市,195077000380703160173167002478921329100,男
佛洛里昂大衛費茲,78774720896948018310037488371757110210,男
傑佛瑞狄恩摩根,118027608012395233516771072600268128851,女
傑瑞米艾倫斯,84372256432113471502872644333161867396,男
克里斯普瑞特,40595576005590342232621315672713171610,男
克里斯潘恩,205013351812915618787579814322018448189,女
冰塊酷巴,260525441765352523667088638485629269382,男
凡妮莎寇比,257378530703591299660040912862779002588,男
凱蒂荷姆斯,50727733850473235650852388094927518050,男
劉主平,324620846803616301336074707150844126629,女
劉亦菲,268883725851878297518706541882734651792,男
千黛亞,321100028989967325967334963859686822331,女
卡蘿杜瓦茲,49164468388325864898343194354877078743,女
卡賴伯蘭里瓊斯,153950714869899277721611881097809149702,男
史考特伊斯威特,295838413050790196992303921595661601671,女
司徒頌曦,279271444882665917680709727826630948087,女
吳肇軒,114352335961521410277214101267626984167,女
哈里遜福特,251534632870473390486248999961335782266,男
唐納奧康諾,255494375589624203115403836087313281029,女
喜翔,194294910497564033176195161597598649190,男
嘉柏莉西迪貝,330275313243927065857526927440396345943,女
坂本龍一,180474506305573539495271559101115059319,女
埃利亞斯穆巴里克,221870939503795229936993169910690423225,女
堤勒帕薩加恭,328112880001430453669452064578090611545,女
夏帆,317518681675366273434428389467752578330,男
夏洛特非律,99345630226824109879568547004420299430,男
太保,10740916171595412349627626189155458080,男
奧塔薇亞史班森,35601923848166965682256082302036101213,女
奧蘭多布魯,189634242376153940555768949826265840124,男
妙麗克菲爾德,280804361685271668502112302269184825473,女
妻夫木聰,271673665201508133261221171396403323510,男
姚亦晴,310252248298811199205015462850722591250,男
威爾法洛,294862547105140644086648905870403639151,女
安東尼霍普金斯,17128304264213095777999059477341091002,男
安雅泰勒喬伊,314071241064187446410676623737284882497,女
宋柏緯,2226573501988117545832536191041303925,女
尊龍,125140021388323703715646201469883946117,女
尤莉亞史托克,79483518905775713844173361702764149309,女
崔西艾莉絲羅斯,249602809382141756345263228835363490185,女
布露亨特,236417398814609875581218055842228322293,女
希拉布多吉,70121477524985531802006976732164421731,女
庫什珍寶,220916099931183927407435809777136359359,女
康妮尼爾森,262750425128093554042159706619400600084,男
弗雷德里克範登德賴舍,261109955102224168268238575486102506872,男
彼得塞斯嘉,189795557998413376944702715477713219921,女
彼得漢德克,79146714957633583188381587440055836313,女
徐立期,293792011213933444324812203172182615277,女
拉維派特,135965155808852323314696102225896253181,女
曹佑寧,301084080431075693006717067601897736773,女
曾珮瑜,79043008514728402241879574845758891020,男
朱芷瑩,223118313461771239630015816588602563139,女
李連杰,300041200029641361249625875587107553792,男
林依晨,68392806099661383474144192985071585082,男
林嘉欣,258506833768645147821410877091485830901,女
林映唯,100825721282725004836480422508598215215,女
林柏宏,189261427712024207881324879245475150109,女
林禹緒,141943841849402211398650633473529234154,男
林輝瑝,97761238268729517645247026282061203850,男
查理希頓,44032883208305256707704310813787937656,男
柯震東,332193526918504896374682661804028076148,男
柴克艾弗隆,191806072611223191495573122319604257221,女
格蘭羅森邁爾,178384462505047376294512265712900067770,男
梅婷,203539373455281735085449310807664305623,女
楊懿軒,14080926911524405557248947144461797351,女
波伊頌娜琳,20046295377201963537623240051617359673,女
派屈克史都華,284627749736524010832333201532586546040,男
派屈克波查,150349975714562370775124127579305712857,女
海納勞特巴赫,25713886368242616600482314175443520602,男
渡邊謙,260008062520758290814261514292107920681,女
湯姆希林,46948590270313346486317997641933929812,男
湯姆霍蘭德,136048182161710412087258063079019514706,男
王渝屏,118632517404990699078178523984737830456,男
琳雪伊,183324453731479476201546522407872370727,女
瑪罕納西里,109575715759654479367122999453472223870,男
瑪莉希維耶,279763661435166466874246134940565439089,女
甄子丹,110694472165388538585439166394406185362,男
米蘭妲奧圖,243930729191140303994115462411005025792,男
米高肯恩,260294427304894971566763866808546858645,女
約翰大衛華盛頓,252645244057433791332241017503848789392,男
羅伯派汀森,227082043168330091346632330002165841001,女
芬姬詹森,172005298266948309094801736944455093698,男
英格麗褒曼,149093587916688625500589199896324326612,男
茱蒂福斯特,129194657387276324915153706479594258981,女
茱麗葉畢諾許,27682337014930269273549421747609433733,女
莫蓮娜芭卡琳,141235059100468692270221468554989782539,女
萊恩雷諾斯,28852024827361005201299843464370792085,女
蓋兒加朵,290069343193019396464362876124965547712,男
蕾哈柯達雅里,159159026694409805204503230505702828331,女
薩瑪拉威明,260179112449296378660237461117030641018,男
薩維卡恰雅德,186127430416892875540723921213931404856,男
蘭妲米契爾,242897011659320054925477634934825487438,男
蜜雪兒威廉斯,10475196896713225612887557947721506625,女
西恩楊,90204611438986410934587527095688010789,女
詹姆士諾頓,185488944133719511940616929643115095945,女
貝吉特米妮克美爾,16838159870778085298536713584773617181,女
費雯麗,171976414677323338754538920357749664477,女
